n,P,quartic_lower,cubic_lower,best_lower,upper,gap,three_state_exact
12,1,,4,4,13,9,0
12,2,,3,3,8,5,0
12,4,,3,3,5,2,0
12,8,,3,3,4,1,0
12,16,,3,3,3,0,1
12,32,,3,3,3,0,1
16,1,5,8,8,17,9,0
16,2,4,5,5,10,5,0
16,4,3,4,4,6,2,0
16,8,3,3,3,4,1,0
16,16,3,3,3,3,0,1
16,32,3,3,3,3,0,1
20,1,9,12,12,21,9,0
20,2,6,7,7,12,5,0
20,4,4,5,5,7,2,0
20,8,3,4,4,5,1,0
20,16,3,3,3,4,1,0
20,32,3,3,3,3,0,1
24,1,13,16,16,25,9,0
24,2,8,9,9,14,5,0
24,4,5,6,6,8,2,0
24,8,4,4,4,5,1,0
24,16,3,3,3,4,1,0
24,32,3,3,3,3,0,1
32,1,21,24,24,33,9,0
32,2,12,13,13,18,5,0
32,4,7,8,8,10,2,0
32,8,5,5,5,6,1,0
32,16,4,4,4,4,0,0
32,32,3,3,3,3,0,1
40,1,29,32,32,41,9,0
40,2,16,17,17,22,5,0
40,4,9,10,10,12,2,0
40,8,6,6,6,7,1,0
40,16,4,4,4,5,1,0
40,32,3,3,3,4,1,0
